question_id,subjects
716,"['Maths', 'Number', 'Decimals', 'Basic Arithmetic', 'Mental Multiplication and Division', 'Multiplying and Dividing with Decimals']"
343,"['Maths', 'Number', 'Fractions', 'Adding and Subtracting Fractions']"
1681,"['Maths', 'Number', 'Percentages', 'Percentages of an Amount']"
834,"['Maths', 'Number', 'Percentages', 'Percentage Increase and Decrease']"
840,"['Maths', 'Algebra', 'Sequences', 'Linear Sequences (nth term)']"
341,"['Maths', 'Algebra', 'Linear Equations', 'Solving Equations']"
1536,"['Maths', 'Geometry and Measure', 'Types, Naming and Estimating', 'Angles']"
676,"['Maths', 'Geometry and Measure', 'Compound Measures', 'Speed, Distance, Time']"
810,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Time']"
1540,"['Maths', 'Data and Statistics', 'Box Plots', 'Pie Chart', 'Data Representation']"
567,"['Maths', 'Data and Statistics', 'Scatter Diagram', 'Data Representation']"
24,"['Maths', 'Data and Statistics', 'Stem and Leaf Diagram', 'Data Processing', 'Range and Interquartile Range from a List of Data', 'Data Representation']"
363,"['Maths', 'Algebra', 'Sequences', 'Linear Sequences (nth term)']"
1210,"['Maths', 'Algebra', 'Linear Equations', 'Solving Equations']"
526,"['Maths', 'Data and Statistics', 'Pie Chart', 'Data Representation']"
245,"['Maths', 'Data and Statistics', 'Experimental Probability and Relative Frequency', 'Probability']"
859,"['Maths', 'Data and Statistics', 'Probability', 'Tree Diagrams with Independent Events']"
1696,"['Maths', 'Data and Statistics', 'Probability', 'Tree Diagrams with Independent Events']"
532,"['Maths', 'Data and Statistics', 'Probability', 'Tree Diagrams with Independent Events']"
1634,"['Maths', 'Data and Statistics', 'Stem and Leaf Diagram', 'Data Processing', 'Range and Interquartile Range from a List of Data', 'Data Representation']"
1684,"['Maths', 'Data and Statistics', 'Averages (mean, median, mode) from a List of Data', 'Stem and Leaf Diagram', 'Data Processing', 'Data Representation']"
632,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Multiples and Lowest Common Multiple']"
515,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Multiples and Lowest Common Multiple']"
1369,"['Maths', 'Number', 'Fractions', 'Equivalent Fractions']"
692,"['Maths', 'Number', 'Fractions', 'Fractions of an Amount']"
1552,"['Maths', 'Number', 'Indices, Powers and Roots', 'Laws of Indices']"
974,"['Maths', 'Number', 'Indices, Powers and Roots', 'Algebra', 'Writing and Simplifying Expressions', 'Laws of Indices', 'Multiplying Terms']"
260,"['Maths', 'Geometry and Measure', 'Length Scale Factors in Similar Shapes', 'Similarity and Congruency']"
1348,"['Maths', 'Algebra', 'Graphs of Trigonometric Functions', 'Geometry and Measure', 'Basic Trigonometry', 'Other Graphs', 'Exact Values of Trigonometric Ratios', 'Algebra-Others']"
610,"['Maths', 'Algebra', 'Simultaneous Equations', 'Solving Equations']"
1314,"['Maths', 'Algebra', 'Quadratic Graphs', 'Sketching from Factorised Form']"
684,"['Maths', 'Algebra', 'Quadratic Graphs', 'Sketching from Factorised Form']"
881,"['Maths', 'Algebra', 'Graphs of Trigonometric Functions', 'Transformation of Functions', 'Other Graphs', 'Transformations of functions in the form y =']"
1162,"['Maths', 'Algebra', 'Graphs of Trigonometric Functions', 'Transformation of Functions', 'Other Graphs', 'Transformations of functions in the form y =']"
833,"['Maths', 'Algebra', 'Linear Equations', 'Solving Equations']"
1616,"['Maths', 'Geometry and Measure', 'Angles', 'Bearings']"
744,"['Maths', 'Geometry and Measure', 'Angles', 'Bearings']"
1370,"['Maths', 'Geometry and Measure', 'Angles', 'Angle Facts with Parallel Lines']"
1066,"['Maths', 'Geometry and Measure', 'Area of Simple Shapes', 'Perimeter and Area']"
380,"['Maths', 'Geometry and Measure', 'Angles', 'Basic Angle Facts (straight line, opposite, around a point, etc)']"
998,"['Maths', 'Geometry and Measure', 'Angles', 'Angle Facts with Parallel Lines']"
197,"['Maths', 'Algebra', 'Straight Line Graphs', 'Finding the Equation of a Line']"
